d / dilky	  d / nm	signal
  17.3491	 391.504	   25
  17.3494	 391.524	   24
  17.3498	 391.543	   23
  17.3502	 391.563	   22
  17.3505	 391.582	   22
  17.3509	 391.602	   21
  17.3513	 391.622	   20
  17.3516	 391.641	   19
  17.3520	 391.661	   19
  17.3524	 391.680	   18
  17.3527	 391.700	   18
  17.3531	 391.719	   17
  17.3535	 391.739	   17
  17.3539	 391.759	   16
  17.3542	 391.778	   16
  17.3546	 391.798	   15
  17.3550	 391.817	   15
  17.3553	 391.837	   14
  17.3557	 391.856	   14
  17.3561	 391.876	   14
  17.3564	 391.895	   14
  17.3568	 391.915	   13
  17.3572	 391.935	   13
  17.3576	 391.954	   12
  17.3579	 391.974	   12
  17.3583	 391.993	   12
  17.3587	 392.013	   12
  17.3590	 392.032	   12
  17.3594	 392.052	   12
  17.3598	 392.072	   11
  17.3601	 392.091	   11
  17.3605	 392.111	   11
  17.3609	 392.130	   11
  17.3613	 392.150	   11
  17.3616	 392.169	   11
  17.3620	 392.189	   10
  17.3624	 392.209	   10
  17.3627	 392.228	   10
  17.3631	 392.248	   10
  17.3635	 392.267	   10
  17.3638	 392.287	   10
  17.3642	 392.306	   10
  17.3646	 392.326	   10
  17.3650	 392.346	   10
  17.3653	 392.365	   10
  17.3657	 392.385	    9
  17.3661	 392.404	   10
  17.3664	 392.424	    9
  17.3668	 392.443	    9
  17.3672	 392.463	    9
  17.3675	 392.482	    9
